event_log_id,event_id,event_name,event_time,insertion_time,event_args,src_mac,src_name,src_util_id,src_device_type,src_event_count,src_admin_state,src_ops_state,src_location_util_id,src_location_type,src_service_pt_util_id,src_service_pt_type,src_addr_line1,src_addr_line2,src_city,src_state,src_postal_code,src_region_code,src_latitude,src_longitude,src_dist_net_transformer_util_id,src_dist_net_feeder_util_id,src_dist_net_substation_util_id,src_dist_net_attr1,src_dist_net_attr2,src_dist_net_attr3,proxy_mac,proxy_name,proxy_util_id,proxy_device_type,event_job_id,event_last_updated_by,event_assigned_to,event_severity,event_category1,event_category2,event_category3,event_text
69877590398,12210,"Battery Status Message","2024-04-04T03:47:34.000+11:00","2024-04-04T11:12:24.137+11:00","{{19.37}{11.94}{14.83}{0.70}{Battery Status: Calibration initiated.}}",00:13:50:ff:fe:71:e9:2e,AP4122950098,AP4122950098,Access Point,7,Active,Active,AMI-CP-EST-000000634,Network,,,"3 WAVERLY ST ","WOOD POLE",RICHMOND,VIC,,CitiPower East,-37.824022,144.996403,,,,CITIPOWER,,,00:13:50:ff:fe:71:e9:2e,AP4122950098,AP4122950098,Access Point,2959959,,,Information,EVENT_CAT_NIC_EVENT,,,"Battery Status: Calibration initiated. Charger temperature 19.37 C, Battery temperature 11.94 C, Voltage 14.83 V, Charge current 0.70 mA"
69924951539,12210,"Battery Status Message","2024-04-06T00:52:31.000+11:00","2024-04-06T11:00:18.492+11:00","{{27.87}{18.47}{14.82}{1.17}{Battery Status: Full.}}",00:13:50:ff:fe:71:e9:2e,AP4122950098,AP4122950098,Access Point,7,Active,Active,AMI-CP-EST-000000634,Network,,,"3 WAVERLY ST ","WOOD POLE",RICHMOND,VIC,,CitiPower East,-37.824022,144.996403,,,,CITIPOWER,,,00:13:50:ff:fe:71:e9:2e,AP4122950098,AP4122950098,Access Point,2959959,,,Information,EVENT_CAT_NIC_EVENT,,,"Battery Status: Full. Charger temperature 27.87 C, Battery temperature 18.47 C, Voltage 14.82 V, Charge current 1.17 mA"
69924951540,12210,"Battery Status Message","2024-04-06T00:52:31.000+11:00","2024-04-06T11:00:18.492+11:00","{{27.87}{18.47}{14.82}{1.17}{Battery Status: Calibration done. Coulomb Range 80572,}}",00:13:50:ff:fe:71:e9:2e,AP4122950098,AP4122950098,Access Point,7,Active,Active,AMI-CP-EST-000000634,Network,,,"3 WAVERLY ST ","WOOD POLE",RICHMOND,VIC,,CitiPower East,-37.824022,144.996403,,,,CITIPOWER,,,00:13:50:ff:fe:71:e9:2e,AP4122950098,AP4122950098,Access Point,2959959,,,Information,EVENT_CAT_NIC_EVENT,,,"Battery Status: Calibration done. Coulomb Range 80572, Charger temperature 27.87 C, Battery temperature 18.47 C, Voltage 14.82 V, Charge current 1.17 mA"
71625490209,12210,"Battery Status Message","2024-06-06T23:53:17.000+10:00","2024-06-07T11:00:19.300+10:00","{{19.62}{12.21}{14.83}{0.70}{Battery Status: Calibration initiated.}}",00:13:50:ff:fe:71:e9:2e,AP4122950098,AP4122950098,Access Point,7,Active,Active,AMI-CP-EST-000000634,Network,,,"3 WAVERLY ST ","WOOD POLE",RICHMOND,VIC,,CitiPower East,-37.824022,144.996403,,,,CITIPOWER,,,00:13:50:ff:fe:71:e9:2e,AP4122950098,AP4122950098,Access Point,2959959,,,Information,EVENT_CAT_NIC_EVENT,,,"Battery Status: Calibration initiated. Charger temperature 19.62 C, Battery temperature 12.21 C, Voltage 14.83 V, Charge current 0.70 mA"
71666222155,12210,"Battery Status Message","2024-06-08T20:40:13.000+10:00","2024-06-08T23:00:18.681+10:00","{{24.62}{14.39}{14.82}{0.94}{Battery Status: Full.}}",00:13:50:ff:fe:71:e9:2e,AP4122950098,AP4122950098,Access Point,7,Active,Active,AMI-CP-EST-000000634,Network,,,"3 WAVERLY ST ","WOOD POLE",RICHMOND,VIC,,CitiPower East,-37.824022,144.996403,,,,CITIPOWER,,,00:13:50:ff:fe:71:e9:2e,AP4122950098,AP4122950098,Access Point,2959959,,,Information,EVENT_CAT_NIC_EVENT,,,"Battery Status: Full. Charger temperature 24.62 C, Battery temperature 14.39 C, Voltage 14.82 V, Charge current 0.94 mA"
71666222156,12210,"Battery Status Message","2024-06-08T20:40:13.000+10:00","2024-06-08T23:00:18.681+10:00","{{24.62}{14.39}{14.82}{0.94}{Battery Status: Calibration done. Coulomb Range 80165,}}",00:13:50:ff:fe:71:e9:2e,AP4122950098,AP4122950098,Access Point,7,Active,Active,AMI-CP-EST-000000634,Network,,,"3 WAVERLY ST ","WOOD POLE",RICHMOND,VIC,,CitiPower East,-37.824022,144.996403,,,,CITIPOWER,,,00:13:50:ff:fe:71:e9:2e,AP4122950098,AP4122950098,Access Point,2959959,,,Information,EVENT_CAT_NIC_EVENT,,,"Battery Status: Calibration done. Coulomb Range 80165, Charger temperature 24.62 C, Battery temperature 14.39 C, Voltage 14.82 V, Charge current 0.94 mA"
72223652495,12012,"NIC Backup Battery Inactive","2024-06-27T15:51:42.574+10:00","2024-06-27T15:51:53.045+10:00","{{001350fffe71e92e}{22}{14}{2024-06-27T05:51:42.574Z}{2024-06-27T05:51:42.574Z}}",00:13:50:ff:fe:71:e9:2e,AP4122950098,AP4122950098,Access Point,1,Active,Active,AMI-CP-EST-000000634,Network,,,"3 WAVERLY ST ","WOOD POLE",RICHMOND,VIC,,CitiPower East,-37.824022,144.996403,,,,CITIPOWER,,,00:13:50:ff:fe:71:e9:2e,AP4122950098,AP4122950098,Access Point,,,,Clear,EVENT_CAT_NIC_EVENT,,,"NIC backup battery inactive"
72233032682,100013,"NIC Power Restore Log Entry","2024-06-27T16:44:58.000+10:00","2024-06-27T23:00:18.351+10:00","{{001350fffe71e92e}{Power Restore Event Log Entry Received. FW Version: 5.4.6043}{2024-06-27T06:44:58.000Z}{22}{1}{die_image_version = 4.6.6001 , die_data = [ die_line = 171 , die_module = failover.c ]}}",00:13:50:ff:fe:71:e9:2e,AP4122950098,AP4122950098,Access Point,1,Active,Active,AMI-CP-EST-000000634,Network,,,"3 WAVERLY ST ","WOOD POLE",RICHMOND,VIC,,CitiPower East,-37.824022,144.996403,,,,CITIPOWER,,,00:13:50:ff:fe:71:e9:2e,AP4122950098,AP4122950098,Access Point,2959959,,,Information,EVENT_CAT_NIC_EVENT,,,"Device 00:13:50:ff:fe:71:e9:2e alarm Power Restore Event Log Entry Received. FW Version: 5.4.6043 time 2024-06-27T16:44:58.000+10:00 Reboot Count: 22 Flags: 1 Core Data: die_image_version = 4.6.6001 , die_data = [ die_line = 171 , die_module = failover.c ]"
72233032683,300263,"NIC Lua Event","2024-06-27T16:44:58.000+10:00","2024-06-27T23:00:18.351+10:00","{{001350fffe71e92e}{1}{2}{32}{0}{ap_vars.luac9c305493cf4f7524408}{Lua initialization script activated.}{LUA_OP_SUCCEEDED}}",00:13:50:ff:fe:71:e9:2e,AP4122950098,AP4122950098,Access Point,5,Active,Active,AMI-CP-EST-000000634,Network,,,"3 WAVERLY ST ","WOOD POLE",RICHMOND,VIC,,CitiPower East,-37.824022,144.996403,,,,CITIPOWER,,,00:13:50:ff:fe:71:e9:2e,AP4122950098,AP4122950098,Access Point,2959959,,,Information,EVENT_CAT_NIC_EVENT,,,"NIC Lua event for 00:13:50:ff:fe:71:e9:2e: type 1 (Lua initialization script activated.), status 2 (LUA_OP_SUCCEEDED), file name length 32, error msg length 0, file name and error - ap_vars.luac9c305493cf4f7524408"
72233032684,300263,"NIC Lua Event","2024-06-27T16:44:58.000+10:00","2024-06-27T23:00:18.351+10:00","{{001350fffe71e92e}{1}{2}{32}{0}{ap_init.lua90e2e0b854dd0eba91d9}{Lua initialization script activated.}{LUA_OP_SUCCEEDED}}",00:13:50:ff:fe:71:e9:2e,AP4122950098,AP4122950098,Access Point,5,Active,Active,AMI-CP-EST-000000634,Network,,,"3 WAVERLY ST ","WOOD POLE",RICHMOND,VIC,,CitiPower East,-37.824022,144.996403,,,,CITIPOWER,,,00:13:50:ff:fe:71:e9:2e,AP4122950098,AP4122950098,Access Point,2959959,,,Information,EVENT_CAT_NIC_EVENT,,,"NIC Lua event for 00:13:50:ff:fe:71:e9:2e: type 1 (Lua initialization script activated.), status 2 (LUA_OP_SUCCEEDED), file name length 32, error msg length 0, file name and error - ap_init.lua90e2e0b854dd0eba91d9"
